SMILES,Thermal conductivity(N) [W/(m*K)]
*CC(*)C,0.2445
*CC(*)CC,0.22533
*CC(*)C(C)C,0.1868
*CC(*)CC1CCCCC1,0.2256
*CC(*)CCCCCCCCCC,0.33575
*CC(*)CCCCCCCCCCCCCCCC,0.375
*CC(*)CC(C)(C)C,0.1735
*CC(*)CCCC1CCCCC1,0.246333333
*/C=C/CCCCCCCCCC*,0.4142
*CC(*)c1ccccc1CC,0.184333333
*CC(*)c1ccccc1C(=O)N(C)C,0.165
*CC(*)c1ccccc1C(=O)OC,0.173666667
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,0.375166667
*CC(*)c1ccc(C(C)=O)cc1,0.229666667
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.319
*CC(*)(C)C#N,0.146
*CC(*)OCC,0.2465
*CC(*)(C)C(=O)OC(C)(C)C,0.1525
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.317
*CC(*)(C)C(=O)OCCN(CC)CC,0.2375
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,0.383
*CC(*)(C#N)C(=O)OC,0.161
*CC(*)C(=O)OCCSC,0.181
*CC(*)C(=O)OCCSCC,0.2175
*CC(*)C(=O)N(C)c1ccccc1,0.1775
*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,0.119
*CC(*)C(=O)NCCCC,0.252
*CC(*)C(=O)NC(C)CC,0.226
*CC(*)(C)C(=O)OCC1(C)COCOC1,0.111
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,0.238
*CC(*)C(=O)Oc1ccc(Cl)cc1,0.145
*CC(*)C(=O)OCCC(C)C,0.219
*CC(*)(CC(=O)OCCCCCC)C(=O)OCCCCCC,0.223
*CC(*)C(=O)NCCCCCCCC/C=C/CCCCCCCC,0.3065
*CCCCCCCCCCC(Cl)C(*)Cl,0.316
*OC(*)CCC#N,0.1705
*CCCCCCCCCCCCO*,0.43075
